,Unnamed: 0,word,source,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale,aoa_mean,aoa_sd,aoa_mean_scale,tasa_1,tasa_2,tasa_3,Word,SUBTLWF,freq_lcnl_extended,freq_lcnl_extended_log,freq_lcnl_extended_log_flipscale,score,score_extended
953,1052,friend,3k,105.0,2.0253058652647704,1.955424511271175,3.57,1.43,1.4280000000000002,427.0,343.0,276.0,friend,419.29411764705884,105.0,2.0253058652647704,1.955424511271175,10.413985789449113,10.413985789449113
882,977,name,3k,112.0,2.0530784434834195,1.9276519330525261,3.68,1.53,1.472,635.0,533.0,469.0,name,641.8627450980392,112.0,2.0530784434834195,1.927651933052526,10.426781765683842,10.42678176568384
1905,2090,truck,3k,119.0,2.0791812460476247,1.9015491304883207,3.79,1.47,1.516,308.0,158.0,85.0,truck,72.86274509803921,119.0,2.0791812460476247,1.9015491304883207,10.445421956709122,10.445421956709122
30,35,school,3k,127.0,2.1072099696478683,1.873520406888077,3.89,1.37,1.556,1065.0,866.0,777.0,school,333.11764705882354,127.0,2.1072099696478683,1.873520406888077,10.44732142410827,10.44732142410827
1570,1720,ask,3k,65.0,1.8195439355418688,2.1611864409940766,2.89,1.37,1.156,339.0,309.0,266.0,ask,483.1372549019608,65.0,1.8195439355418688,2.1611864409940766,10.45415254347927,10.45415254347927
639,714,fell,3k,83.0,1.9242792860618816,2.056451090474064,3.280385,1.2,1.312154,294.0,238.0,186.0,fell,73.0,83.0,1.9242792860618816,2.056451090474064,10.477963816659223,10.477963816659223
1917,2102,fast,3k,111.0,2.0492180226701815,1.9315123538657637,3.738636,1.33,1.4954544,610.0,347.0,221.0,fast,137.45098039215685,111.0,2.0492180226701815,1.931512353865764,10.498929238530174,10.498929238530174
91,103,tell,3k,156.0,2.1958996524092336,1.7848307241267118,4.26,2.05,1.704,1243.0,1107.0,962.0,tell,1724.4901960784314,156.0,2.1958996524092336,1.7848307241267118,10.506907534443492,10.506907534443492
592,665,hear,3k,115.0,2.0644579892269186,1.916272387309027,3.8,1.64,1.52,482.0,457.0,373.0,hear,555.3529411764706,115.0,2.0644579892269186,1.9162723873090268,10.506953355581594,10.506953355581594
1050,1159,black,3k,98.0,1.99563519459755,1.9850951819383953,3.56,1.92,1.4240000000000002,261.0,293.0,309.0,black,167.94117647058823,98.0,1.99563519459755,1.9850951819383955,10.507833136784384,10.507833136784384
995,1099,take,3k,164.0,2.2174839442139063,1.7632464323220391,4.37,1.89,1.7480000000000002,1347.0,1036.0,1013.0,take,1891.0392156862745,164.0,2.2174839442139063,1.7632464323220391,10.541362513127137,10.541362513127137
